"tmin","SWD"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,34.4411043699986
50,52.689580505201
51,70.3374250653998
52,87.351050637009
53,103.698076813361
54,119.347391841978
55,130.539511528022
56,131.942344521578
57,148.333357718663
58,159.860207598468
59,170.62415464833
60,224.387673906702
61,218.537871519978
62,174.124096326228
63,193.199308593198
64,160.860813211173
65,125.599209203063
66,128.441087450274
67,199.603100168805
68,202.381600609311
69,147.993426550455
70,113.41800643311
71,305.409884215164
72,262.29558013521
73,218.494014673283
74,202.420180108845
75,213.423721883466
76,202.867967782555
77,152.101931392051
78,103.00009207705
79,74.8288188581821
80,78.1065880953615
81,69.0639782840572
82,60.2537504550587
83,46.580168781272
84,29.0987308917456
85,18.0035058737211
86,12.388507702619
87,7.47274768277907
88,6.6444775390419
89,2.88788582448646
90,58.4194073108214
91,41.1992929636645
92,33.855364031766
93,27.0305968685098
94,9.30413261017178
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,41.4147539611318
194,59.7317106019731
195,79.3530420214134
196,98.2692744115437
197,119.355517153924
198,123.805560646083
199,116.586727741459
200,132.947797100637
201,135.798488174083
202,151.160558655921
203,161.278919551849
