"","minutes","swd"
"1",0,0
"2",10,0
"3",20,0
"4",30,0
"5",40,0
"6",50,0
"7",60,0
"8",70,0
"9",80,0
"10",90,0
"11",100,0
"12",110,0
"13",120,0
"14",130,0
"15",140,0
"16",150,0
"17",160,0
"18",170,0
"19",180,0
"20",190,0
"21",200,0
"22",210,0
"23",220,0
"24",230,0
"25",240,0
"26",250,0
"27",260,0
"28",270,0
"29",280,0
"30",290,0
"31",300,0
"32",310,0
"33",320,0
"34",330,0
"35",340,0
"36",350,0
"37",360,0
"38",370,0
"39",380,0
"40",390,0
"41",400,0
"42",410,0
"43",420,0
"44",430,0
"45",440,0
"46",450,0
"47",460,0
"48",470,0
"49",480,4.4204982285111
"50",490,11.4431066025389
"51",500,25.0331784454374
"52",510,39.7042242876422
"53",520,56.8226188838117
"54",530,69.4971678582817
"55",540,59.2589137255412
"56",550,79.6815615105715
"57",560,86.7808245640005
"58",570,62.8641623190369
"59",580,86.2677975216535
"60",590,126.690538560761
"61",600,145.703550681647
"62",610,55.263264219027
"63",620,78.9565887822006
"64",630,142.240574632271
"65",640,102.120785114286
"66",650,58.7642116382556
"67",660,47.1247727371819
"68",670,170.689930023868
"69",680,182.16977779033
"70",690,196.136894845945
"71",700,88.1552507042571
"72",710,104.567852506569
"73",720,133.720785917073
"74",730,192.873319489764
"75",740,206.318091278722
"76",750,135.907424100689
"77",760,134.771140508491
"78",770,153.288075867875
"79",780,78.3854725750586
"80",790,66.6437864007889
"81",800,101.62508756197
"82",810,142.451717605582
"83",820,125.101124517493
"84",830,136.874523018062
"85",840,141.001754828242
"86",850,102.942564822107
"87",860,43.7287691457602
"88",870,66.5078117456961
"89",880,58.6025635794315
"90",890,25.5553921300036
"91",900,19.4645259913749
"92",910,51.7238935664185
"93",920,39.3916095175618
"94",930,21.3981865473083
"95",940,15.5732321151847
"96",950,3.28397616454648
"97",960,0
"98",970,0
"99",980,0
"100",990,0
"101",1000,0
"102",1010,0
"103",1020,0
"104",1030,0
"105",1040,0
"106",1050,0
"107",1060,0
"108",1070,0
"109",1080,0
"110",1090,0
"111",1100,0
"112",1110,0
"113",1120,0
"114",1130,0
"115",1140,0
"116",1150,0
"117",1160,0
"118",1170,0
"119",1180,0
"120",1190,0
"121",1200,0
"122",1210,0
"123",1220,0
"124",1230,0
"125",1240,0
"126",1250,0
"127",1260,0
"128",1270,0
"129",1280,0
"130",1290,0
"131",1300,0
"132",1310,0
"133",1320,0
"134",1330,0
"135",1340,0
"136",1350,0
"137",1360,0
"138",1370,0
"139",1380,0
"140",1390,0
"141",1400,0
"142",1410,0
"143",1420,0
"144",1430,0
"145",1440,0
"146",1450,0
"147",1460,0
"148",1470,0
"149",1480,0
"150",1490,0
"151",1500,0
"152",1510,0
"153",1520,0
"154",1530,0
"155",1540,0
"156",1550,0
"157",1560,0
"158",1570,0
"159",1580,0
"160",1590,0
"161",1600,0
"162",1610,0
"163",1620,0
"164",1630,0
"165",1640,0
"166",1650,0
"167",1660,0
"168",1670,0
"169",1680,0
"170",1690,0
"171",1700,0
"172",1710,0
"173",1720,0
"174",1730,0
"175",1740,0
"176",1750,0
"177",1760,0
"178",1770,0
"179",1780,0
"180",1790,0
"181",1800,0
"182",1810,0
"183",1820,0
"184",1830,0
"185",1840,0
"186",1850,0
"187",1860,0
"188",1870,0
"189",1880,0
"190",1890,0
"191",1900,0
"192",1910,0
"193",1920,4.67181270740559
"194",1930,15.6130233845926
"195",1940,20.8784159202501
"196",1950,16.6979610030773
"197",1960,16.6701234949856
"198",1970,50.9923999466254
"199",1980,90.4632256648351
"200",1990,105.756097032454
"201",2000,85.4999588718382
"202",2010,61.4004304220164
"203",2020,125.611262046065
"204",2030,94.7797092768684
"205",2040,65.2006706712196
"206",2050,141.983751666766
"207",2060,145.067026485521
"208",2070,204.505688765234
"209",2080,198.407271063345
"210",2090,77.0358327020378
"211",2100,152.911080223089
"212",2110,213.08591314781
"213",2120,217.271034310465
"214",2130,154.751576802044
"215",2140,96.2885662161402
"216",2150,107.310729970029
"217",2160,108.574955792442
"218",2170,104.534725900448
"219",2180,161.079888839776
"220",2190,102.331744952643
"221",2200,131.650790696868
"222",2210,109.019992103443
"223",2220,75.2421996620001
"224",2230,80.1531595229762
"225",2240,170.610092951881
"226",2250,102.123468889164
"227",2260,56.3573890588779
"228",2270,125.801030482692
"229",2280,153.57941785867
"230",2290,143.960203668921
"231",2300,73.8765285473612
"232",2310,49.0097985647429
"233",2320,83.9158966938529
"234",2330,58.2316838170813
"235",2340,80.8127940791335
"236",2350,53.5278790841082
"237",2360,18.4863077892259
"238",2370,21.8969783347442
"239",2380,10.9264446570431
"240",2390,1.65852614906439
"241",2400,0
"242",2410,0
"243",2420,0
"244",2430,0
"245",2440,0
"246",2450,0
"247",2460,0
"248",2470,0
"249",2480,0
"250",2490,0
"251",2500,0
"252",2510,0
"253",2520,0
"254",2530,0
"255",2540,0
"256",2550,0
"257",2560,0
"258",2570,0
"259",2580,0
"260",2590,0
"261",2600,0
"262",2610,0
"263",2620,0
"264",2630,0
"265",2640,0
"266",2650,0
"267",2660,0
"268",2670,0
"269",2680,0
"270",2690,0
"271",2700,0
"272",2710,0
"273",2720,0
"274",2730,0
"275",2740,0
"276",2750,0
"277",2760,0
"278",2770,0
"279",2780,0
"280",2790,0
"281",2800,0
"282",2810,0
"283",2820,0
"284",2830,0
"285",2840,0
"286",2850,0
"287",2860,0
"288",2870,0
"289",2880,0
"290",2890,0
"291",2900,0
"292",2910,0
"293",2920,0
"294",2930,0
"295",2940,0
"296",2950,0
"297",2960,0
"298",2970,0
"299",2980,0
"300",2990,0
"301",3000,0
"302",3010,0
"303",3020,0
"304",3030,0
"305",3040,0
"306",3050,0
"307",3060,0
"308",3070,0
"309",3080,0
"310",3090,0
"311",3100,0
"312",3110,0
"313",3120,0
"314",3130,0
"315",3140,0
"316",3150,0
"317",3160,0
"318",3170,0
"319",3180,0
"320",3190,0
"321",3200,0
"322",3210,0
"323",3220,0
"324",3230,0
"325",3240,0
"326",3250,0
"327",3260,0
"328",3270,0
"329",3280,0
"330",3290,0
"331",3300,0
"332",3310,0
"333",3320,0
"334",3330,0
"335",3340,0
"336",3350,0
"337",3360,7.9314659575781
"338",3370,20.1852197076989
"339",3380,37.1886919987549
"340",3390,27.4161336604637
"341",3400,63.6398153055321
"342",3410,38.7503562135515
"343",3420,91.5418525780085
"344",3430,103.997956694484
"345",3440,103.270781360404
"346",3450,106.64013055996
"347",3460,95.2630062327166
"348",3470,129.647044397724
"349",3480,120.757868692402
