"tmin","SWD"
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,32.5336591519389
50,52.5365657677686
51,62.7507217313307
52,59.5929416312156
53,76.1872110932717
54,134.658797185192
55,95.1247539765253
56,93.4762548173093
57,106.150181222107
58,105.247093751147
59,87.9133686114042
60,93.0558088469195
61,103.217314802694
62,107.763161018326
63,82.4190782495805
64,91.1711333938779
65,124.887549239136
66,274.583648896882
67,234.060230658456
68,224.134024347122
69,213.024204783315
70,167.40093480248
71,127.474723084925
72,127.232685186825
73,113.183368660046
74,283.517654989628
75,227.61709866245
76,172.469312284599
77,137.431224822674
78,127.700550222871
79,100.13650027609
80,119.184410566845
81,108.731701565668
82,72.4394723874245
83,58.6672373835477
84,167.213564825419
85,153.05778978772
86,111.172774407839
87,95.2949596586878
88,81.5943399283295
89,79.1104509934539
90,55.1839762421831
91,46.3304288754346
92,25.0281068563595
93,15.5025224549019
94,5.02219633165084
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,33.5323615001621
194,47.9600604135299
195,63.7145102825609
196,78.9028187887809
197,96.2459647157505
198,110.627300493338
199,124.340127127713
200,137.358346792947
201,119.72574692918
202,198.061969609711
